Museum_num,Species_name,Location,Lat,Long,Hind_foot_length,Bulk_soil_density,Sand_content,Clay_content,Silt_content,Organic_content
MSB55377,Ctenomys opimus,HUANCAROMA,-17.66667,-67.45,40,,,,,
AM260844,Ctenomys opimus,HUANCAROMA,-17.66667,-67.45,40,,,,,
AM260849,Ctenomys opimus,HUANCAROMA,-17.66667,-67.45,40,,,,,
MSB55373,Ctenomys opimus,HUANCAROMA,-17.66667,-67.45,41,,,,,
MSB55376,Ctenomys opimus,HUANCAROMA,-17.66667,-67.45,41,,,,,
AM260835,Ctenomys opimus,HUANCAROMA,-17.66667,-67.45,42,,,,,
MSB55372,Ctenomys opimus,HUANCAROMA,-17.66667,-67.45,42,,,,,
AM260838,Ctenomys opimus,HUANCAROMA,-17.66667,-67.45,42,,,,,
AM260847,Ctenomys opimus,HUANCAROMA,-17.66667,-67.45,42,,,,,
AM246960,Ctenomys opimus,HUANCAROMA,-17.66667,-67.45,42,,,,,
AM260839,Ctenomys opimus,HUANCAROMA,-17.66667,-67.45,43,,,,,
AM260845,Ctenomys opimus,HUANCAROMA,-17.66667,-67.45,43,,,,,
AM260848,Ctenomys opimus,HUANCAROMA,-17.66667,-67.45,43,,,,,
AM246960,Ctenomys opimus,HUANCAROMA,-17.66667,-67.45,43,,,,,
MSB55378,Ctenomys opimus,HUANCAROMA,-17.66667,-67.45,45,,,,,
AM260840,Ctenomys opimus,HUANCAROMA,-17.66667,-67.45,45,,,,,
AM260841,Ctenomys opimus,HUANCAROMA,-17.66667,-67.45,45,,,,,
AM260843,Ctenomys opimus,HUANCAROMA,-17.66667,-67.45,48.5,,,,,
AM263040,Ctenomys opimus,RIO BARRAS,-18.31667,-67.98333,34,,,,,
AM263041,Ctenomys opimus,RIO BARRAS,-18.31667,-67.98333,38,,,,,
AM263044,Ctenomys opimus,RIO BARRAS,-18.31667,-67.98333,39,,,,,
AM263045,Ctenomys opimus,RIO BARRAS,-18.31667,-67.98333,39,,,,,
AM263046,Ctenomys opimus,RIO BARRAS,-18.31667,-67.98333,39,,,,,
AM263042,Ctenomys opimus,RIO BARRAS,-18.31667,-67.98333,41,,,,,
AM263043,Ctenomys opimus,RIO BARRAS,-18.31667,-67.98333,44,,,,,
MSB57201,Ctenomys opimus,RIO BARROS,-18.31667,-67.98333,41,,,,,
MSB57202,Ctenomys opimus,RIO BARROS,-18.31667,-67.98333,41,,,,,
MSB,Ctenomys steinbachi,1.5K.SCARANDA,-17.55,-63.53333,41,,,,,
MSB,Ctenomys steinbachi,1.5K.SCARANDA,-17.55,-63.53333,43,,,,,
MSB,Ctenomys steinbachi,1.5K.SCARANDA,-17.55,-63.53333,44,,,,,
MSB,Ctenomys steinbachi,1.5K.SCARANDA,-17.55,-63.53333,47,,,,,
MSB,Ctenomys steinbachi,1.5K.SCARANDA,-17.55,-63.53333,48,,,,,
MSB,Ctenomys steinbachi,1.5K.SCARANDA,-17.55,-63.53333,50,,,,,
MSB,Ctenomys steinbachi,2K.S.BUENA-V,-17.46667,-63.68333,35,,,,,
